support,itemsets,length
0.11998446084688384,['WHITE HANGING HEART T-LIGHT HOLDER'],1
0.02486264498584827,['KNITTED UNION FLAG HOT WATER BOTTLE'],1
0.022809256895499196,['RED WOOLLY HOTTIE WHITE HEART.'],1
0.02641656029746379,['HAND WARMER UNION JACK'],1
0.0760863532937455,['ASSORTED COLOUR BIRD ORNAMENT'],1
0.04151173761030024,['HOME BUILDING BLOCK WORD'],1
0.033686664076807815,['LOVE BUILDING BLOCK WORD'],1
0.03118930018314002,['DOORMAT NEW ENGLAND'],1
0.022920250846328875,['FELTCRAFT PRINCESS CHARLOTTE DOLL'],1
0.020811365780564958,"[""POPPY'S PLAYHOUSE KITCHEN""]",1
0.02020089905100172,"[""POPPY'S PLAYHOUSE BEDROOM ""]",1
0.055441478439425054,['JAM MAKING SET WITH JARS'],1
0.062434097341694875,"[""PAPER CHAIN KIT 50'S CHRISTMAS ""]",1
0.05971474554636772,['WOODEN PICTURE FRAME WHITE FINISH'],1
0.05227815084077918,['WOODEN FRAME ANTIQUE WHITE '],1
0.029635384871524503,['WOOD 2 DRAWER CABINET WHITE FINISH'],1
0.021810311338032077,['WOOD S/3 CABINET ANT WHITE FINISH'],1
0.03906987069204728,['RED HANGING HEART T-LIGHT HOLDER'],1
0.034297130806371055,['HOT WATER BOTTLE TEA AND SYMPATHY'],1
0.07725178977745713,['LUNCH BAG RED RETROSPOT'],1
0.06432099450579944,['JUMBO BAG PINK POLKADOT'],1
0.06271158221876907,['JUMBO STORAGE BAG SUKI'],1
0.06265608524335424,['PACK OF 72 RETROSPOT CAKE CASES'],1
0.0505022476275043,['JUMBO  BAG BAROQUE BLACK WHITE'],1
0.04523003496309451,['JUMBO BAG PINK VINTAGE PAISLEY'],1
0.043343137798989954,['PACK OF 60 PINK PAISLEY CAKE CASES'],1
0.04178922248737444,['60 TEATIME FAIRY CAKE CASES'],1
0.03734946445418725,['STRAWBERRY CHARLOTTE BAG'],1
0.0301903546256729,['PACK OF 60 DINOSAUR CAKE CASES'],1
0.02486264498584827,['STRAWBERRY LUNCH BOX WITH CUTLERY'],1
0.023197735723403074,['SET/6 RED SPOTTY PAPER PLATES'],1
0.0203118930018314,['LUNCH BOX WITH CUTLERY RETROSPOT '],1
0.05594095121815861,['JAM MAKING SET PRINTED'],1
0.06287807314501359,['JUMBO SHOPPER VINTAGE RED PAISLEY'],1
0.045119041012264834,['RETROSPOT TEA SET CERAMIC 11 PC '],1
0.04056828902824796,['GIN + TONIC DIET METAL SIGN'],1
0.03823741606082468,['COOK WITH WINE METAL SIGN '],1
0.036572506798379485,['RED TOADSTOOL LED NIGHT LIGHT'],1
0.032188245740607135,['PAPER CHAIN KIT RETROSPOT'],1
0.027193517953271545,['EDWARDIAN PARASOL NATURAL'],1
0.02563960264165603,['DOORMAT FANCY FONT HOME SWEET HOME'],1
0.023863699428381152,"[""YOU'RE CONFUSING ME METAL SIGN ""]",1
0.023364226649647594,['CLEAR DRAWER KNOB ACRYLIC EDWARDIAN'],1
0.022365281092180476,['SKULL SHOULDER BAG'],1
0.048615350463399744,['ALARM CLOCK BAKELIKE GREEN'],1
0.03940285254453632,['RECYCLING BAG RETROSPOT '],1
0.02486264498584827,['TOY TIDY PINK POLKADOT'],1
0.02020089905100172,['VINTAGE SNAKES & LADDERS'],1
0.06765081303068983,['NATURAL SLATE HEART CHALKBOARD '],1
0.06459847938287364,['HEART OF WICKER SMALL'],1
0.050724235529163664,['HEART OF WICKER LARGE'],1
0.036295021921305286,['WOOD BLACK BOARD ANT WHITE FINISH'],1
0.033076197347244575,['COLOUR GLASS T-LIGHT HOLDER HANGING'],1
0.027970475609079306,['CREAM HEART CARD HOLDER'],1
0.02630556634663411,['ENAMEL FLOWER JUG CREAM'],1
0.024196681280870193,['ENAMEL BREAD BIN CREAM'],1
0.033353682224318774,['LUNCH BAG DOLLY GIRL DESIGN'],1
0.023530717575892115,['JUMBO BAG DOLLY GIRL DESIGN'],1
0.10738664742771518,['JUMBO BAG RED RETROSPOT'],1
0.03607303401964593,['CHILLI LIGHTS'],1
0.03263222154392586,['HOMEMADE JAM SCENTED CANDLES'],1
